,Aciklamalar,tarih_baslangic,tarih_bitis,il,haftalik_vaka_sayisi
,,20.02.2021,26.02.2021,Tokat,167
,,20.02.2021,26.02.2021,Trabzon,240
,,20.02.2021,26.02.2021,Tunceli,27
,,20.02.2021,26.02.2021,Uşak,18
,,20.02.2021,26.02.2021,Van,10
,,20.02.2021,26.02.2021,Yalova,85
,,20.02.2021,26.02.2021,Yozgat,43
,,20.02.2021,26.02.2021,Zonguldak,59
,,27.02.2021,05.03.2021,Adana,53
,,27.02.2021,05.03.2021,Adıyaman,141
,,27.02.2021,05.03.2021,Afyon,48
,,27.02.2021,05.03.2021,Ağrı,24
,,27.02.2021,05.03.2021,Aksaray,141
,,27.02.2021,05.03.2021,Amasya,184
,,27.02.2021,05.03.2021,Ankara,55
,,27.02.2021,05.03.2021,Antalya,82
,,27.02.2021,05.03.2021,Ardahan,71
,,27.02.2021,05.03.2021,Artvin,109
,,27.02.2021,05.03.2021,Aydın,49
,,27.02.2021,05.03.2021,Balıkesir,172
,,27.02.2021,05.03.2021,Bartın,76
,,27.02.2021,05.03.2021,Batman,9
,,27.02.2021,05.03.2021,Bayburt,39
,,27.02.2021,05.03.2021,Bilecik,65
,,27.02.2021,05.03.2021,Bingöl,17
,,27.02.2021,05.03.2021,Bitlis,29
,,27.02.2021,05.03.2021,Bolu,68
,,27.02.2021,05.03.2021,Burdur,105
,,27.02.2021,05.03.2021,Bursa,59
,,27.02.2021,05.03.2021,Çanakkale,107
,,27.02.2021,05.03.2021,Çankırı,23
,,27.02.2021,05.03.2021,Çorum,45
,,27.02.2021,05.03.2021,Denizli,39
,,27.02.2021,05.03.2021,Diyarbakır,20
,,27.02.2021,05.03.2021,Düzce,56
,,27.02.2021,05.03.2021,Edirne,180
,,27.02.2021,05.03.2021,Elazığ,36
,,27.02.2021,05.03.2021,Erzincan,31
,,27.02.2021,05.03.2021,Erzurum,52
,,27.02.2021,05.03.2021,Eskişehir,48
,,27.02.2021,05.03.2021,Gaziantep,44
,,27.02.2021,05.03.2021,Giresun,282
,,27.02.2021,05.03.2021,Gümüşhane,152
,,27.02.2021,05.03.2021,Hakkari,5
,,27.02.2021,05.03.2021,Hatay,62
,,27.02.2021,05.03.2021,Iğdır,25
,,27.02.2021,05.03.2021,Isparta,47
,,27.02.2021,05.03.2021,Istanbul,112
,,27.02.2021,05.03.2021,Izmir,66
,,27.02.2021,05.03.2021,Kahramanmaraş,42
,,27.02.2021,05.03.2021,Karabük,41
,,27.02.2021,05.03.2021,Karaman,55
,,27.02.2021,05.03.2021,Kars,25
,,27.02.2021,05.03.2021,Kastamonu,66
,,27.02.2021,05.03.2021,Kayseri,98
,,27.02.2021,05.03.2021,Kırıkkale,62
,,27.02.2021,05.03.2021,Kırklareli,117
,,27.02.2021,05.03.2021,Kırşehir,40
,,27.02.2021,05.03.2021,Kilis,163
,,27.02.2021,05.03.2021,Kocaeli,112
,,27.02.2021,05.03.2021,Konya,151
,,27.02.2021,05.03.2021,Kütahya,85
,,27.02.2021,05.03.2021,Malatya,53
,,27.02.2021,05.03.2021,Manisa,51
,,27.02.2021,05.03.2021,Mardin,11
,,27.02.2021,05.03.2021,Içel,101
,,27.02.2021,05.03.2021,Muğla,66
,,27.02.2021,05.03.2021,Muş,24
,,27.02.2021,05.03.2021,Nevşehir,35
,,27.02.2021,05.03.2021,Niğde,83
,,27.02.2021,05.03.2021,Ordu,280
,,27.02.2021,05.03.2021,Osmaniye,174
,,27.02.2021,05.03.2021,Rize,208
,,27.02.2021,05.03.2021,Sakarya,140
,,27.02.2021,05.03.2021,Samsun,348
,,27.02.2021,05.03.2021,Siirt,12
,,27.02.2021,05.03.2021,Sinop,314
,,27.02.2021,05.03.2021,Sivas,24
,,27.02.2021,05.03.2021,Şanlıurfa,16
,,27.02.2021,05.03.2021,Şırnak,6
,,27.02.2021,05.03.2021,Tekirdağ,111
,,27.02.2021,05.03.2021,Tokat,229
,,27.02.2021,05.03.2021,Trabzon,226
,,27.02.2021,05.03.2021,Tunceli,26
,,27.02.2021,05.03.2021,Uşak,11
,,27.02.2021,05.03.2021,Van,17
,,27.02.2021,05.03.2021,Yalova,135
,,27.02.2021,05.03.2021,Yozgat,36
,,27.02.2021,05.03.2021,Zonguldak,65
,,06.03.2021,12.03.2021,Adana,63
,,06.03.2021,12.03.2021,Adıyaman,155
,,06.03.2021,12.03.2021,Afyon,48
,,06.03.2021,12.03.2021,Ağrı,22
,,06.03.2021,12.03.2021,Aksaray,174
,,06.03.2021,12.03.2021,Amasya,164
,,06.03.2021,12.03.2021,Ankara,69
,,06.03.2021,12.03.2021,Antalya,95
,,06.03.2021,12.03.2021,Ardahan,74
,,06.03.2021,12.03.2021,Artvin,101
,,06.03.2021,12.03.2021,Aydın,59
,,06.03.2021,12.03.2021,Balıkesir,258
,,06.03.2021,12.03.2021,Bartın,63
,,06.03.2021,12.03.2021,Batman,16
,,06.03.2021,12.03.2021,Bayburt,51
,,06.03.2021,12.03.2021,Bilecik,81
,,06.03.2021,12.03.2021,Bingöl,25
,,06.03.2021,12.03.2021,Bitlis,16
,,06.03.2021,12.03.2021,Bolu,66
,,06.03.2021,12.03.2021,Burdur,86
,,06.03.2021,12.03.2021,Bursa,78
,,06.03.2021,12.03.2021,Çanakkale,150
,,06.03.2021,12.03.2021,Çankırı,47
,,06.03.2021,12.03.2021,Çorum,73
,,06.03.2021,12.03.2021,Denizli,42
,,06.03.2021,12.03.2021,Diyarbakır,18
,,06.03.2021,12.03.2021,Düzce,82
,,06.03.2021,12.03.2021,Edirne,200
,,06.03.2021,12.03.2021,Elazığ,30
,,06.03.2021,12.03.2021,Erzincan,54
,,06.03.2021,12.03.2021,Erzurum,46
,,06.03.2021,12.03.2021,Eskişehir,75
,,06.03.2021,12.03.2021,Gaziantep,67
,,06.03.2021,12.03.2021,Giresun,297
,,06.03.2021,12.03.2021,Gümüşhane,138
,,06.03.2021,12.03.2021,Hakkari,8
,,06.03.2021,12.03.2021,Hatay,69
,,06.03.2021,12.03.2021,Iğdır,81
,,06.03.2021,12.03.2021,Isparta,61
,,06.03.2021,12.03.2021,Istanbul,178
,,06.03.2021,12.03.2021,Izmir,79
,,06.03.2021,12.03.2021,Kahramanmaraş,57
,,06.03.2021,12.03.2021,Karabük,47
,,06.03.2021,12.03.2021,Karaman,57
,,06.03.2021,12.03.2021,Kars,25
,,06.03.2021,12.03.2021,Kastamonu,118
,,06.03.2021,12.03.2021,Kayseri,143
,,06.03.2021,12.03.2021,Kırıkkale,88
,,06.03.2021,12.03.2021,Kırklareli,137
,,06.03.2021,12.03.2021,Kırşehir,48
,,06.03.2021,12.03.2021,Kilis,256
,,06.03.2021,12.03.2021,Kocaeli,138
,,06.03.2021,12.03.2021,Konya,204
,,06.03.2021,12.03.2021,Kütahya,85
,,06.03.2021,12.03.2021,Malatya,93
,,06.03.2021,12.03.2021,Manisa,50
,,06.03.2021,12.03.2021,Mardin,17
,,06.03.2021,12.03.2021,Içel,97
,,06.03.2021,12.03.2021,Muğla,80
,,06.03.2021,12.03.2021,Muş,27
,,06.03.2021,12.03.2021,Nevşehir,65
,,06.03.2021,12.03.2021,Niğde,89
,,06.03.2021,12.03.2021,Ordu,249
,,06.03.2021,12.03.2021,Osmaniye,199
,,06.03.2021,12.03.2021,Rize,188
,,06.03.2021,12.03.2021,Sakarya,90
,,06.03.2021,12.03.2021,Samsun,459
,,06.03.2021,12.03.2021,Siirt,2
,,06.03.2021,12.03.2021,Sinop,346
,,06.03.2021,12.03.2021,Sivas,44
,,06.03.2021,12.03.2021,Şanlıurfa,15
,,06.03.2021,12.03.2021,Şırnak,4
,,06.03.2021,12.03.2021,Tekirdağ,122
,,06.03.2021,12.03.2021,Tokat,244
,,06.03.2021,12.03.2021,Trabzon,222
,,06.03.2021,12.03.2021,Tunceli,54
,,06.03.2021,12.03.2021,Uşak,19
,,06.03.2021,12.03.2021,Van,20
